jlpt ,Vocab-expression,Vocab-kana,Vocab-meaning
JLPT4,一つ,ひとつ,one (thing)
JLPT4,二つ,ふたつ,two (things)
JLPT2,円,えん,yen
JLPT2,金,かね,money
JLPT4,これ,これ,"this, this one"
JLPT4,水曜日,すいようび,Wednesday
JLPT4,あれ,あれ,that over there
JLPT4,先,さき,"ahead, first"
JLPT4,八日,ようか,"eight days, 8th of the month"
JLPT4,そば,そば,"side, vicinity"
JLPT3,こっち,こっち,here
JLPT4,右,みぎ,right
JLPT3,あげる,あげる,give
JLPT4,ここ,ここ,here
JLPT4,とても,とても,very
JLPT2,七,なな,seven
JLPT4,手,て,hand
JLPT4,おなか,おなか,stomach
JLPT2,空く,すく,be empty
JLPT4,一日,ついたち,1st of the month
JLPT4,日曜日,にちようび,Sunday
JLPT4,七つ,ななつ,seven (things)
JLPT4,どれ,どれ,"what, which"
JLPT2,私,わたし,I
JLPT4,好き,すき,"favorite, liked"
JLPT2,ゲーム,ゲーム,game
JLPT4,一人,ひとり,"one, one person"
JLPT4,友達,ともだち,"friend, companion"
JLPT4,帰る,かえる,"return, go back"
JLPT4,元気,げんき,"healthy, energetic"
JLPT4,天気,てんき,weather
JLPT2,少ない,すくない,"few, little"
JLPT4,晴れる,はれる,"be sunny, clear up"
JLPT4,上,うえ,"up, above"
JLPT4,ドア,ドア,door
JLPT3,開く,ひらく,open
JLPT4,口,くち,mouth
JLPT4,閉める,しめる,"shut, close"
JLPT4,時間,じかん,"time, hour"
JLPT4,六日,むいか,"six days, 6th of the month"
JLPT0,後ろ,うしろ,"back, behind"
JLPT4,十日,とおか,"ten days, 10th of the month"
JLPT4,午前,ごぜん,"morning, a.m."
JLPT4,今晩,こんばん,"this evening, tonight"
JLPT4,土曜日,どようび,Saturday
JLPT4,金曜日,きんようび,Friday
JLPT2,月,つき,moon
JLPT4,夜,よる,night (from sunset to sunrise)
JLPT4,食べる,たべる,eat
JLPT4,何,なに,"what, which"
JLPT4,晩,ばん,evening (usually from sunset to bedtime)
JLPT0,ご飯,ごはん,"cooked rice, meal"
JLPT4,三つ,みっつ,three (things)
JLPT4,昼,ひる,"daytime, midday"
JLPT3,見つかる,みつかる,"be found, be caught"
JLPT4,それ,それ,"that, that one"
JLPT4,男,おとこ,"man, male"
JLPT4,今週,こんしゅう,this week
JLPT3,こう,こう,"like this, this kind of"
JLPT4,会う,あう,meet
JLPT4,月曜日,げつようび,Monday
JLPT4,昨日,きのう,yesterday
JLPT4,休む,やすむ,"take a day off, take a break"
JLPT4,今日,きょう,today
JLPT4,木曜日,もくようび,Thursday
JLPT3,場合,ばあい,"situation, case"
JLPT4,つける,つける,switch on
JLPT4,駅,えき,railway station
JLPT2,止める,やめる,"stop, give up, abolish"
JLPT4,歩く,あるく,"walk, go on foot"
JLPT4,近く,ちかく,"near, close to"
JLPT4,もっと,もっと,more
JLPT4,近い,ちかい,"near, soon"
JLPT4,近く,ちかく,"vicinity, nearby"
JLPT4,全部,ぜんぶ,"all, wholly"
JLPT4,国,くに,country
JLPT4,漢字,かんじ,"character, kanji"
JLPT4,赤い,あかい,red
JLPT4,どちら,どちら,which
JLPT3,米,こめ,rice (grain)
JLPT4,まずい,まずい,"bad-tasting, bad"
JLPT2,無い,ない,to not be
JLPT4,作る,つくる,"make, create"
JLPT4,使う,つかう,use
JLPT4,消す,けす,"switch off, turn off"
JLPT4,閉まる,しまる,"be shut, be closed"
JLPT4,前,まえ,"front, before"
JLPT4,店,みせ,"shop, store"
JLPT4,部屋,へや,room
JLPT4,夏,なつ,summer
JLPT4,暑い,あつい,"hot, warm (temperature of the air)"
JLPT4,熱い,あつい,"hot (things, touch)"
JLPT4,冬,ふゆ,winter
JLPT4,入る,はいる,enter
JLPT4,寒い,さむい,cold (temperature of the air)
JLPT4,春,はる,spring
JLPT4,暖かい,あたたかい,warm
JLPT3,見つける,みつける,find
JLPT4,テーブル,テーブル,table
JLPT4,古い,ふるい,old
JLPT4,悪い,わるい,bad
JLPT3,思う,おもう,think
JLPT4,そう,そう,"in such manner, that way"
JLPT4,どう,どう,"how, what"
JLPT3,考える,かんがえる,"think, consider"
JLPT3,決める,きめる,"decide, agree upon"
JLPT4,高い,たかい,"high, tall"
JLPT3,多い,おおい,lots of
JLPT4,午後,ごご,"afternoon, p.m."
JLPT4,重い,おもい,heavy
JLPT4,九日,ここのか,"nine days, 9th of the month"
JLPT4,待つ,まつ,"wait, wait for"
JLPT4,二日,ふつか,"two days, 2nd of the month"
JLPT4,持つ,もつ,"have, possess"
JLPT4,朝,あさ,morning
JLPT4,先生,せんせい,teacher
JLPT4,電車,でんしゃ,train
JLPT4,四,し,four
JLPT4,遠い,とおい,"far, distant"
JLPT4,名前,なまえ,name
JLPT4,大学,だいがく,"university, college"
JLPT4,勉強,べんきょう,study
JLPT4,強い,つよい,strong
JLPT3,弱い,よわい,weak
JLPT4,引く,ひく,"draw, pull"
JLPT4,質問,しつもん,question
JLPT4,難しい,むずかしい,difficult
JLPT4,取る,とる,"take, get"
JLPT2,数,かず,number
JLPT4,二,に,two
JLPT2,四,よん,four
JLPT4,八,はち,eight
JLPT3,勝つ,かつ,win
JLPT3,負ける,まける,lose
JLPT0,本当に,ほんとうに,"really, truly"
JLPT2,他,ほか,other
JLPT4,時計,とけい,"clock, watch"
JLPT4,八つ,やっつ,eight (things)
JLPT3,払う,はらう,pay
JLPT4,千,せん,thousand
JLPT4,四日,よっか,"four days, 4th of the month"
JLPT4,買う,かう,buy
JLPT4,十,じゅう,ten
JLPT4,要る,いる,"need, require"
JLPT4,忘れる,わすれる,"forget, leave behind"
JLPT4,乗る,のる,"ride, take"
JLPT4,着る,きる,"wear, put on"
JLPT4,そこ,そこ,there
JLPT4,次,つぎ,next
JLPT2,週,しゅう,week
JLPT3,動く,うごく,move
JLPT4,出る,でる,"go out, leave"
JLPT4,早い,はやい,early
JLPT2,時,とき,time
JLPT4,遅い,おそい,"slow, late"
JLPT3,始める,はじめる,"begin, start"
JLPT4,学校,がっこう,school
JLPT4,一,いち,one
JLPT3,年,とし,"year, age"
JLPT4,始まる,はじまる,begin
JLPT0,ミーティング,ミーティング,meeting
JLPT3,終わり,おわり,"end, conclusion"
JLPT4,去年,きょねん,last year
JLPT4,切る,きる,cut
JLPT4,三日,みっか,"three days, 3rd of the month"
JLPT4,見る,みる,"see, look at"
JLPT0,楽しむ,たのしむ,enjoy
JLPT4,飲み物,のみもの,"beverage, drink"
JLPT4,後,あと,after
JLPT4,見せる,みせる,show
JLPT4,色,いろ,color
JLPT0,直ぐ,すぐ,"at once, soon"
JLPT0,書き直す,かきなおす,rewrite
JLPT3,直る,なおる,"be repaired, return to normal"
JLPT4,道,みち,"road, street"
JLPT3,線,せん,line
JLPT0,曲がる,まがる,turn
JLPT4,左,ひだり,left
JLPT2,曜日,ようび,day of the week
JLPT4,今年,ことし,this year
JLPT4,五,ご,five
JLPT4,行く,いく,go
JLPT4,図書館,としょかん,library
JLPT2,未だ,まだ,"yet, more"
JLPT0,ところ,ところ,place
JLPT3,泊まる,とまる,stay overnight
JLPT2,家,うち,"house, home"
JLPT4,安い,やすい,"inexpensive, cheap"
JLPT4,服,ふく,clothes
JLPT4,開ける,あける,"open, unlock"
JLPT4,お父さん,おとうさん,father
JLPT4,父,ちち,(speaker's)father
JLPT4,話す,はなす,"speak, tell"
JLPT4,母,はは,(speaker's)mother
JLPT4,働く,はたらく,work
JLPT4,姉,あね,older sister
JLPT3,大学生,だいがくせい,university student
JLPT4,お姉さん,おねえさん,older sister
JLPT4,上手,じょうず,"good, skilled"
JLPT4,妹,いもうと,younger sister
JLPT4,お兄さん,おにいさん,older brother
JLPT4,車,くるま,"car, automobile"
